,listing_url,last_scraped,name,neighborhood_overview,host_id,host_name,host_location,host_response_time,host_acceptance_rate,host_thumbnail_url,host_neighbourhood,host_total_listings_count,host_has_profile_pic,neighbourhood,neighbourhood_group_cleansed,longitude,room_type,bathrooms,bedrooms,amenities,minimum_nights,minimum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,calendar_updated,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
0,https://www.airbnb.com/rooms/8521,2024-12-28,SunsplashedSerenity walk to Harvard & Fresh Pond,"Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  You'll also find scrumptious take-out in several local places. (URL HIDDEN)<br />(URL HIDDEN)",306681,Janet,"Cambridge, MA",within an hour,67%,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,Cambridge,3,t,Neighborhood highlights,,-71.13646,Entire home/apt,,2.0,"[""Paid parking on premises"", ""Essentials"", ""Children\u2019s dinnerware"", ""Wifi"", ""Free street parking"", ""Bed linens"", ""Host greets you"", ""Carbon monoxide alarm"", ""High chair"", ""Babysitter recommendations"", ""BBQ grill"", ""Single level home"", ""Heating"", ""Stove"", ""Bathtub"", ""Dryer"", ""Shower gel"", ""Smoke alarm"", ""Baking sheet"", ""Pack \u2019n play/Travel crib"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Barbecue utensils"", ""Outlet covers"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Private entrance"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Beach essentials"", ""Cooking basics"", ""Shared backyard \u2013 Not fully fenced"", ""Children\u2019s books and toys"", ""Microwave"", ""Air conditioning"", ""Washer"", ""Iron"", ""Kitchen""]",2,2,1125,2.0,,16,16,2024-12-28,10,2009-07-23,4.83,4.97,4.92,4.74,f,2,0
1,https://www.airbnb.com/rooms/11169,2024-12-28,Lovely Studio Room: Available for long w/ends,"The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk.",40965,Judith L,"Cambridge, MA",within a few hours,50%,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_small,Cambridge,4,t,Neighborhood highlights,,-71.13135,Private room,,1.0,"[""Essentials"", ""Central air conditioning"", ""Wifi"", ""Bed linens"", ""Host greets you"", ""Carbon monoxide alarm"", ""Heating"", ""Coffee"", ""Bathtub"", ""Shower gel"", ""Dining table"", ""Smoke alarm"", ""Paid parking garage off premises"", ""Portable fans"", ""Hot water"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Shampoo"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Children\u2019s books and toys"", ""Microwave"", ""EV charger"", ""Hair dryer""]",3,3,14,3.0,,27,87,2024-12-28,9,2010-03-30,4.79,4.77,4.92,4.76,f,1,0
2,https://www.airbnb.com/rooms/19581,2024-12-28,"Furnished suite, Windsor",,74249,Marc And Patty,"Cambridge, MA",,100%,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,Central Square,3,t,,,-71.09603,Private room,1.0,1.0,"[""Paid parking on premises"", ""Essentials"", ""Wifi"", ""Ethernet connection"", ""Building staff"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Mini fridge"", ""Heating"", ""Stove"", ""Dryer"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""General electric oven"", ""Dishes and silverware"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cooking basics"", ""Clothing storage"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Outdoor furniture"", ""Fire extinguisher"", ""Washer"", ""Iron"", ""Hair dryer"", ""Kitchen""]",10,5,730,8.9,,7,62,2024-12-28,1,2010-03-06,4.55,4.6,4.9,4.3,t,0,0
3,https://www.airbnb.com/rooms/27498,2024-12-28,Furnished suite 2 @ the Windsor,,74249,Marc And Patty,"Cambridge, MA",,100%,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,Central Square,3,t,,,-71.09698,Private room,1.0,1.0,"[""Essentials"", ""Wifi"", ""Ethernet connection"", ""Building staff"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Mini fridge"", ""Stove"", ""Hammock"", ""Dining table"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""40 inch TV with standard cable"", ""Smoke alarm"", ""Baking sheet"", ""Paid parking lot on premises \u2013 3 spaces"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Rice maker"", ""Dedicated workspace"", ""Hangers"", ""Central heating"", ""Dishes and silverware"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Paid washer \u2013 In building"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Outdoor furniture"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",5,5,730,8.9,,14,69,2024-12-28,3,2010-07-22,4.76,4.75,4.75,4.63,t,0,0
4,https://www.airbnb.com/rooms/79762,2024-12-28,Cambridge Getaway @ Harvard & MIT,Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.,430015,Kevin,"Cambridge, MA",within an hour,85%,https://a0.muscache.com/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_small,Cambridge,2,t,Neighborhood highlights,,-71.09921,Entire home/apt,1.0,2.0,"[""Essentials"", ""Wifi"", ""Free street parking"", ""Building staff"", ""Self check-in"", ""Carbon monoxide alarm"", ""High chair"", ""Heating"", ""Stove"", ""Bathtub"", ""Pets allowed"", ""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Free parking on premises"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Shampoo"", ""Patio or balcony"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Fire extinguisher"", ""Iron"", ""Hair dryer"", ""Kitchen""]",3,3,365,3.0,,26,86,2024-12-28,26,2011-05-05,4.87,4.86,4.93,4.76,f,1,0
5,https://www.airbnb.com/rooms/106474,2024-12-28,large furnished suite in Central sq,,74249,Marc And Patty,"Cambridge, MA",,100%,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,Central Square,3,t,,,-71.09768,Private room,1.0,1.0,"[""Paid parking on premises"", ""Essentials"", ""Building staff"", ""Ethernet connection"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Mini fridge"", ""Heating"", ""Stove"", ""Dryer"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""Baking sheet"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""TV with standard cable"", ""Fast wifi \u2013 119 Mbps"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Dishes and silverware"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Private backyard \u2013 Fully fenced"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Outdoor furniture"", ""Washer"", ""Iron"", ""Hair dryer"", ""Kitchen""]",5,5,365,9.0,,3,62,2024-12-28,2,2011-09-05,4.83,4.87,5.0,4.57,t,0,0
6,https://www.airbnb.com/rooms/108898,2024-12-28,"""The Treehouse"" :   Elegant living near Harvard","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes.  And you'll find  scrumptious take-out, available in several local places.  We're within walking distance of Harvard Square and on 3 bus lines .  (URL HIDDEN)<br />(URL HIDDEN)",306681,Janet,"Cambridge, MA",within an hour,67%,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,Cambridge,3,t,Neighborhood highlights,,-71.13643,Entire home/apt,,1.0,"[""Paid parking on premises"", ""Essentials"", ""Wifi"", ""Free street parking"", ""Bed linens"", ""Freezer"", ""Conditioner"", ""Window AC unit"", ""Host greets you"", ""Window guards"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Laundromat nearby"", ""Outdoor dining area"", ""Mini fridge"", ""BBQ grill"", ""Free washer \u2013 In building"", ""Coffee"", ""Hammock"", ""Bathtub"", ""Body soap"", ""Garden view"", ""Under-counter small fridge with freezer refrigerator"", ""Dining table"", ""Exercise equipment: stationary bike"", ""Wine glasses"", ""Smoke alarm"", ""Thermador electric stove"", ""Coffee maker: french press"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Toaster"", ""Portable fans"", ""Hot water"", ""Free parking on premises \u2013 1 space"", ""Dedicated workspace"", ""Free dryer \u2013 In building"", ""Hangers"", ""Children\u2019s bikes"", ""Central heating"", ""Dishes and silverware"", ""Barbecue utensils"", ""Shampoo"", ""Private entrance"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Shared patio or balcony"", ""21 inch HDTV with Netflix, standard cable"", ""Microwave-Convection oven oven"", ""Fire pit"", ""Long term stays allowed"", ""Cooking basics"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Shared backyard \u2013 Not fully fenced"", ""Microwave"", ""Books and reading material"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Board games"", ""Iron"", ""Hair dryer"", ""Kitchen""]",2,2,730,2.0,,0,27,2024-12-28,4,2011-05-24,4.76,4.93,4.93,4.8,f,2,0
7,https://www.airbnb.com/rooms/231115,2024-12-28,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,"Private standalone carriage house artists loft.  Walking distance to Harvard, MIT and HBS. Transportation including Redline T, bus and Hubway bikes steps away! Fantastic Parks, Restaurants, Pubs, Music, Whole Foods, Starbucks & Local Coffee Shops, Bookstores! Uber, Lyft, SAFR, and Taxis in abundance.",81038,Louisa,"Cambridge, MA",within an hour,98%,https://a0.muscache.com/im/pictures/user/b4519df7-0bb6-40a1-b9cc-d9c0b35669c8.jpg?aki_policy=profile_small,Cambridge,13,t,Neighborhood highlights,,-71.1058,Entire home/apt,,1.0,"[""Essentials"", ""Wifi"", ""Self check-in"", ""Bed linens"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Heating"", ""Stove"", ""Pets allowed"", ""Dryer"", ""Smoke alarm"", ""Keypad"", ""First aid kit"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Private entrance"", ""Shampoo"", ""Extra pillows and blankets"", ""Shared patio or balcony"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Fire extinguisher"", ""EV charger"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",28,28,120,28.0,,0,0,2024-12-28,0,2011-10-24,4.88,4.98,4.95,4.75,f,9,0
8,https://www.airbnb.com/rooms/405144,2024-12-28,Apartment in Harvard's Backyard,,2018955,Nicole,"Mid-Cambridge, MA",a few days or more,0%,https://a0.muscache.com/im/users/2018955/profile_pic/1332903709/original.jpg?aki_policy=profile_small,Cambridge,1,t,,,-71.11237,Entire home/apt,1.0,2.0,"[""Essentials"", ""Wifi"", ""Bed linens"", ""Freezer"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Heating"", ""Stove"", ""Dryer"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Toaster"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Shampoo"", ""Dishwasher"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Washer"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",31,31,500,31.0,,29,56,2024-12-28,0,2012-04-12,4.75,4.85,4.92,4.55,f,1,0
9,https://www.airbnb.com/rooms/445407,2024-12-28,East Cambridge Apartment,Neighborhood is tucked away behind MIT and Kendall Square.  East Cambridge still has a strong Portuguese population that is apparent with grape vines surrounding our yard.  Our oldest son goes to school down the street and we love the community and our neighborhood.  ,2212429,Jimmy,"Cambridge, MA",within an hour,100%,https://a0.muscache.com/im/users/2212429/profile_pic/1423275652/original.jpg?aki_policy=profile_small,Cambridge,3,t,Neighborhood highlights,,-71.08939,Entire home/apt,2.0,4.0,"[""Essentials"", ""Wifi"", ""Self check-in"", ""Bed linens"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""BBQ grill"", ""Heating"", ""Body soap"", ""Dryer"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Smart lock"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Room-darkening shades"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Shampoo"", ""Cooking basics"", ""Clothing storage"", ""Children\u2019s books and toys"", ""Microwave"", ""Air conditioning"", ""Outdoor furniture"", ""Fire extinguisher"", ""Washer"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",2,2,1125,2.0,,0,0,2024-12-28,5,2012-06-29,4.94,4.91,4.99,4.76,t,2,0
