,listing_url,source,name,neighborhood_overview
0,https://www.airbnb.com/rooms/8521,previous scrape,SunsplashedSerenity walk to Harvard & Fresh Pond,"Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  You'll also find scrumptious take-out in several local places. (URL HIDDEN)<br />(URL HIDDEN)"
1,https://www.airbnb.com/rooms/11169,previous scrape,Lovely Studio Room: Available for long w/ends,"The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk."
2,https://www.airbnb.com/rooms/19581,city scrape,"Furnished suite, Windsor",
3,https://www.airbnb.com/rooms/27498,city scrape,Furnished suite 2 @ the Windsor,
4,https://www.airbnb.com/rooms/79762,city scrape,Cambridge Getaway @ Harvard & MIT,Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.
5,https://www.airbnb.com/rooms/106474,city scrape,large furnished suite in Central sq,
6,https://www.airbnb.com/rooms/108898,previous scrape,"""The Treehouse"" :   Elegant living near Harvard","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes.  And you'll find  scrumptious take-out, available in several local places.  We're within walking distance of Harvard Square and on 3 bus lines .  (URL HIDDEN)<br />(URL HIDDEN)"
7,https://www.airbnb.com/rooms/231115,previous scrape,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,"Private standalone carriage house artists loft.  Walking distance to Harvard, MIT and HBS. Transportation including Redline T, bus and Hubway bikes steps away! Fantastic Parks, Restaurants, Pubs, Music, Whole Foods, Starbucks & Local Coffee Shops, Bookstores! Uber, Lyft, SAFR, and Taxis in abundance."
8,https://www.airbnb.com/rooms/405144,city scrape,Apartment in Harvard's Backyard,
9,https://www.airbnb.com/rooms/445407,city scrape,East Cambridge Apartment,Neighborhood is tucked away behind MIT and Kendall Square.  East Cambridge still has a strong Portuguese population that is apparent with grape vines surrounding our yard.  Our oldest son goes to school down the street and we love the community and our neighborhood.  
10,https://www.airbnb.com/rooms/675441,city scrape,Waterfront-1 Bed Room Luxury Condo,
11,https://www.airbnb.com/rooms/715532,city scrape,"Quiet, Artistically Decorated Cambridge Apartment","Our street is a beautiful quiet tree lined street that does not get a lot of car traffic since it is not a through street from major roads.  There are several parks close by- a large one that is great for jogging, soccer, softball, track and smaller ones that with newly renovated playground equipment and water features for hot days."
12,https://www.airbnb.com/rooms/742574,city scrape,See Yourself in Central Square,
13,https://www.airbnb.com/rooms/860634,city scrape,Home on quiet street near Harvard,
14,https://www.airbnb.com/rooms/910408,city scrape,Mid-Cambridge Charmer - Avail for Academic Year,"Mid- Cambridge is a beautiful neighborhood of Victorian houses and tree lined streets.   Convenient to everything - half way btween Harvard & Central Sqs. Enjoy excellent dining, entertainment, site seeing & seasonal events. Everything you need is near by including grocery stores, library, post office, drug stores, cafes, banks, hubway bikes, Charles River."
15,https://www.airbnb.com/rooms/1021008,city scrape,Pvt Room Heart of Harvard Square,Heart of Harvard Square. This is one phenomenal location close to everything Harvard has to offer. Most of our guests are return guests and that should speak for itself.
16,https://www.airbnb.com/rooms/1054635,city scrape,"Sunny, lg 1-br, heart of Cambridge",
17,https://www.airbnb.com/rooms/1080789,previous scrape,Entire Fabulous home: Available occasionally!,"great neighborhood, again deets will be found in other listing"
18,https://www.airbnb.com/rooms/1097262,city scrape,Harvard/MIT/BU/Central Square Room,
19,https://www.airbnb.com/rooms/1140201,city scrape,"Great Room Near Harvard/MIT/BU, bikes available",
20,https://www.airbnb.com/rooms/1141088,city scrape,MIT/Harvard/Inman- 2 Bedroom Apt.,What is not to love about Inman Square!! Tons of Restaurants and still maintaining a neighborhood feel. There are 2 WholeFoods Markets within a 10 minute walk.
21,https://www.airbnb.com/rooms/1154298,city scrape,Quiet private room in N. Cambridge,"This was the working class neighborhood of Cambridge, the area where former speaker of the house, Tip O'Neil, grew up. A lot of condos have gone up in the neighborhood. It's an area that borders Arlington and Somerville, and Belmont and Watertown are also very close."
22,https://www.airbnb.com/rooms/1225831,city scrape,Victorian Charm MIT/Harvard/Kendall/Central-1BR,"Despite our urban setting, our neighborhood is very quiet, particularly at bedtime. It has always been the kind of neighborhood where women can walk alone safely at night. Generally speaking, this side of the river is dramatically calmer than the Boston side though now bustling with a nice variety of great restaurants.<br /><br />We actively recycle. There is a blue bin in the unit. Or, we can do it for you if you simply keep glass, plastic and metal trash together and separated from trash. We also keep a compost container in the fridge for vegetable trash. We'll empty it into the big bin outside when you leave."
23,https://www.airbnb.com/rooms/1276962,city scrape,"Cambridge Apt, walk to MIT, Harvard",
